WKT,id,name,alt_name,latitude,longitude
"POINT (106.8227 -6.2)",31.0,DKI JAKARTA,DKI JAKARTA,-6.200000,106.8227
"POINT (107.64047 -6.88917)",32.0,JAWA BARAT,JAWA BARAT,-6.88917,107.64047
"POINT (110.00441 -7.30324)",33.0,JAWA TENGAH,JAWA TENGAH,-7.30324,110.00441
"POINT (110.3695 -7.797068)",34.0,DI YOGYAKARTA,DI YOGYAKARTA,-7.797068,110.3695
"POINT (112.2308016 -7.5375379)",35.0,JAWA TIMUR,JAWA TIMUR,-7.5375379,112.23080160

"POINT (106.13756 -6.44538)",36.0,BANTEN,BANTEN,-6.44538,106.13756
